complaint_type,descriptor,count
Encampment,N/A,109011
PLUMBING,TOILET,107962
GENERAL CONSTRUCTION,MOLD,104828
Homeless Person Assistance,N/A,103752
Illegal Parking,Blocked Bike Lane,102800
PLUMBING,BATHTUB/SHOWER,102231
Sanitation Condition,12 Dead Animals,101872
Noise - Vehicle,Engine Idling,101477
GENERAL CONSTRUCTION,FLOOR,100833
Dirty Condition,Trash,99753
Noise - Vehicle,Car/Truck Horn,99294
Illegal Parking,Double Parked Blocking Vehicle,96494
Rodent,Condition Attracting Rodents,96369
Lead,Lead Kit Request (Residential) (L10),96242
Noise,Noise: Construction Equipment (NC1),96190
Noise,"Noise, Barking Dog (NR5)",95676
Damaged Tree,Entire Tree Has Fallen Down,93790
Illegal Fireworks,N/A,93418
APPLIANCE,ELECTRIC/GAS RANGE,90739
Damaged Tree,Branch Cracked and Will Fall,89200
GENERAL CONSTRUCTION,WINDOWS,87990
Electronics Waste Appointment,Ewaste appointment,87962
Literature Request,BLUE RECYCLING DECAL,87911
Literature Request,GREEN MIXED PAPER DECALS,83808
Street Condition,Failed Street Repair,81195
ELECTRIC,LIGHTING,79510
Street Condition,Defective Hardware,77274
PLUMBING,RADIATOR,76661
Overgrown Tree/Branches,Hitting Building,75917
GENERAL CONSTRUCTION,DOORS,75761
Dead/Dying Tree,Planted More Than 2 Years Ago,74772
Benefit Card Replacement,Medicaid,73605
APPLIANCE,REFRIGERATOR,73193
Water System,Fire Hydrant Emergency (FHE),73114
Maintenance or Facility,Structure - Outdoors,73078
Broken Muni Meter,No Receipt,72798
Elevator,Elevator - Defective/Not Working,69751
Dirty Conditions,E3A Dirty Area/Alleyway,69278
Water System,Hydrant Leaking (WC1),67846
GENERAL,CABINET,67765
GENERAL,COOKING GAS,65825
Missed Collection,Trash,65147
Street Condition,"Rough, Pitted or Cracked Roads",63527
Illegal Dumping,Removal Request,62724
ELECTRIC,NO LIGHTING,62340
Elevator,Elevator - Single Device On Property/No Alternate Service,61366
GENERAL,BELL/BUZZER/INTERCOM,61118
ELECTRIC,OUTLET/SWITCH,60872
Non-Emergency Police Matter,Social Distancing,59998
Dirty Conditions,E15 Illegal Postering,59334
Noise - Commercial,Banging/Pounding,58222
Illegal Parking,Blocked Crosswalk,58152
ELECTRIC,POWER OUTAGE,57947
Dead Tree,Dead/Dying Tree,57498
Noise - Park,Loud Music/Party,56804
Missed Collection (All Materials),2 Bulk-Missed Collection,56251
Rodent,Mouse Sighting,55354
Noise - Residential,Loud Television,55340
NonCompliance with Phased Reopening,Business not in compliance,54853
Street Light Condition,Street Light Cycling,54012
For Hire Vehicle Complaint,Driver Complaint - Non Passenger,53478
Snow,E9 Snow / Icy Sidewalk,53440
Missed Collection (All Materials),1R Missed Recycling-All Materials,52966
PLUMBING,WATER-SUPPLY,51723
Housing - Low Income Senior,N/A,51517
Noise,Noise: air condition/ventilation equipment (NV1),51309
Noise - Commercial,Loud Talking,50524
Traffic Signal Condition,Pedestrian Signal,50046
Emergency Response Team (ERT),After Hours Work - Illegal,49906
Broken Muni Meter,Coin or Card Did Not Register,49783
Noise,Noise: Alarms (NR3),49733
Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",48664
General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,48639
ELECTRIC,ELECTRIC-SUPPLY,48236
Illegal Parking,Parking Permit Improper Use,48009
General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,45110
Damaged Tree,Tree Leaning/Uprooted,44921
ELECTRIC,ELECTRIC-WIRING,44898
Literature Request,LIT Literature Request,44629
WATER LEAK,DAMP SPOT,44404
Electrical,Electrical Wiring Defective/Exposed,44099
Noise,Noise: Jack Hammering (NC2),42723
Street Condition,Blocked - Construction,41507
Overgrown Tree/Branches,Blocking Street,41487
Dirty Conditions,E1 Improper Disposal,40939
Curb Condition,Broken Curb,40633
PLUMBING,BATHTUB,40604
Maintenance or Facility,Garbage or Litter,39971
Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,39879
Sewer,Street Flooding (SJ),38728
Water System,Hydrant Defective (WC2),38325
Food Establishment,Rodents/Insects/Garbage,38218
Homeless Encampment,N/A,38208
Overgrown Tree/Branches,Dead Branches in Tree,38189
DOF Property - Request Copy,Copy of Statement,38036
Benefit Card Replacement,Food Stamp,37757
Rodent,Signs of Rodents,37679
General Construction/Plumbing,Failure To Maintain,37160
Overgrown Tree/Branches,Hitting Power/Phone Lines,36374
Water System,Possible Water Main Break (Use Comments) (WA1),36045
For Hire Vehicle Complaint,Driver Complaint,35638
Drug Activity,Use Outside,35582
Elevator,Elevator - Multiple Devices On Property,35323
Smoking,Smoking Violation,35165
Traffic,Congestion/Gridlock,34982
General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,33955
Consumer Complaint,Retail Store,33570
Food Poisoning,1 or 2,33507
Traffic Signal Condition,LED Pedestrian Unit,33335
Broken Muni Meter,Out of Order,33002
Sewer,Catch Basin Sunken/Damaged/Raised (SC1),32997
Damaged Tree,Tree Alive - in Poor Condition,32576
Non-Emergency Police Matter,Trespassing,32396
Sidewalk Condition,Blocked - Construction,32218
NONCONST,RUBBISH,31735
Dirty Conditions,E12 Illegal Dumping Surveillance,31681
Litter Basket / Request,10 Litter Basket / Request,31650
DOF Property - Owner Issue,Billing Address Incorrect,31612
SCRIE,SCRIE Assistance,31567
ELECTRIC,WIRING,31562
Street Light Condition,Lamppost Base Door/Cover Open,30799
Boilers,Boiler - Defective/Inoperative/No Permit,30757
General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,30706
Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,30500
Illegal Parking,Unauthorized Bus Layover,30458
GENERAL CONSTRUCTION,CABINETS,30171
Building/Use,Illegal. Commercial Use In Resident Zone,29977
Missed Collection (All Materials),1RG Missed Recycling Paper,29527
DOOR/WINDOW,DOOR FRAME,29478
DOF Parking - Payment Issue,Waive Penalty for Late Payment,29139
Traffic Signal Condition,LED Lense,29054
Snow,15S Re-Plow/Spread/Ice-Snow Cond.,28950
Dirty Conditions,E8 Canine Violation,28872
General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,28501
General Construction/Plumbing,Site Conditions Endangering Workers,28194
Highway Condition,Pothole - Highway,28071
Street Condition,Plate Condition - Noisy,27794
DOF Property - Reduction Issue,Personal STAR Exemption,27165
Indoor Air Quality,Chemical Vapors/Gases/Odors,27093
Illegal Parking,Overnight Commercial Storage,26680
Electronics Waste,Recycling Electronics,26471
SAFETY,SMOKE DETECTOR,26334
DOF Property - Reduction Issue,Personal SCHE Exemption,26244
Other Enforcement,E2A Storage Of Receptacles,26223
Traffic Signal Condition,Veh Signal Lamp,26100
GENERAL CONSTRUCTION,CERAMIC-TILE,25949
DOOR/WINDOW,WINDOW PANE,25916
Literature Request,RECYCLING CHECKLIST FLYER E/S,25780
Broken Parking Meter,Coin or Card Did Not Register,25647
Vacant Lot,8 Request to Clean Vacant Lot,25452
GENERAL CONSTRUCTION,LOCKS,25355
General Construction/Plumbing,Working Contrary To Stop Work Order,25080
Animal Abuse,Neglected,24968
Vending,In Prohibited Area,24967
Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),24962
Panhandling,N/A,24812
APPLIANCE,ELECTRIC/GAS-RANGE,24793
Traffic Signal Condition,Veh Signal Head,24389
Missed Collection (All Materials),1RB Missed Recycling - M/G/Pl,23902
DHS Advantage - Tenant,Other Issue,23713
Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,23592
Taxi Complaint,Driver Complaint - Passenger,23529
Missed Collection (All Materials),2R Bulk-Missed Recy Collection,23439
Consumer Complaint,Exchange/Refund/Return,23140
UNSANITARY CONDITION,SEWAGE,22953
General Construction/Plumbing,Fence - None/Inadequate,22826
General Construction/Plumbing,"Building - Vacant, Open And Unguarded",22611
ELECTRIC,BELL-BUZZER/INTERCOM,22547
General Construction/Plumbing,Debris - Excessive,22538
SAFETY,WINDOW GUARD BROKEN/MISSING,22284
Street Light Condition,Multiple Street Lights Out,22044
Illegal Parking,Paper License Plates,21815
SAFETY,CARBON MONOXIDE DETECTOR,21783
Noise,"Noise, Ice Cream Truck (NR4)",21754
Vending,Unlicensed,21633
DHS Advantage -Landlord/Broker,Payment Not Received from DHS,21548
Sanitation Condition,22 Weeds,21266
Curb Condition,Defacement,20662
Sewer,Manhole Cover Missing (Emergency) (SA3),20644
Broken Parking Meter,Out of Order,20256
Street Condition,Line/Marking - Faded,20213
Sewer,Manhole Cover Broken/Making Noise (SB),19803
Water System,Hydrant Knocked Over/Missing (WC),19482
Water System,No Water (WNW),19410
SAFETY,FIRE ESCAPE,19391
Street Light Condition,Fixture/Luminaire Door Open,19381
Sewer,Sewer Odor (SA2),19301
Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,18993
Street Sign - Missing,"No Parking, Standing, Stopping",18959
Consumer Complaint,Non-Delivery Goods/Services,18897
Street Sign - Damaged,Other/Unknown,18877
Drinking,In Public,18876
Street Condition,Wear & Tear,18687
General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,18656
Air Quality,"Air: Dust, Construction/Demolition (AE4)",18461
Asbestos,Asbestos Complaint (B1),18308
Missed Collection,Bulky Trash,18255
Noise - Commercial,Car/Truck Music,18225
Broken Parking Meter,No Receipt,18167
DOF Property - Request Copy,Copy of Account Information,18115
General Construction/Plumbing,Adjacent Buildings Not Protected,17981
Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,17800
Hazardous Materials,Chemical Odor (HD1),17798
Consumer Complaint,Overcharge,17641
Maintenance or Facility,Grass/Weeds,17632
Street Light Condition,Fixture/Luminaire Out Of Position,17613
GENERAL,VENTILATION SYSTEM,17592
Water System,No Water/Low Pressure (WA5),17380
Dirty Conditions,E5 Loose Rubbish,17298
Street Sign - Damaged,"No Parking, Standing, Stopping",17211
Street Light Condition,Street Light Dayburning,17057
Bike/Roller/Skate Chronic,N/A,17017
Animal-Abuse,Neglected,16978
Overflowing Litter Baskets,6 Overflowing Litter Baskets,16629
Water System,Excessive Water In Basement (WEFB),16591
Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),16575
Water System,Other Water Problem (Use Comments) (WZZ),16431
Street Sign - Damaged,St Name - Attached to Pole,16430
DOF Property - Payment Issue,Other Billing Issue,16377
Derelict Bicycle,14B Derelict Bicycle,16306
Noise Survey,People Created Noise,16303
NONCONST,SMOKE-DETECTOR,16257
GENERAL CONSTRUCTION,GAS,15785
Non-Residential Heat,Inadequate or No Heat,15689
Homeless Street Condition,N/A,15583
NONCONST,CARBON MONOXIDE,15550
Construction,Initial - Construction,15459
DOF Property - Reduction Issue,Condo or Co-op Abatement,15434
HPD Literature Request,The ABCs of Housing,15221
Noise,Noise: Private Carting Noise (NQ1),15191
Animal in a Park,Dog Off Leash,15074
Consumer Complaint,False Advertising,14938
Indoor Air Quality,Other (Explain Below),14900
Plumbing,Plumbing-Defective/Leaking/Not Maintained,14875
Water System,NO WATER - WNW,14602
Miscellaneous Categories,Inspection Work Order (DOB),14586
DOF Property - Update Account,Billing Address Incorrect,14549
Water Conservation,Illegal Use Of A Hydrant (CIN),14485
GENERAL,JANITOR/SUPER,14429
PLUMBING,STEAM PIPE/RISER,14425
Missed Collection,Recycling - Paper,14289
Street Sign - Missing,St Name - Attached to Pole,14264
Dirty Conditions,E2 Receptacle Violation,14230
Air Quality,"Air: Smoke, Chimney or vent (AS1)",14228
Indoor Air Quality,Ventilation,14059
Traffic Signal Condition,Post,14019
Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,14007
DOF Property - Owner Issue,Remove Mortgage,13840
Water System,LOW WATER PRESSURE - WLWP,13810
Street Sign - Damaged,Stop,13606
ELEVATOR,MAINTENANCE,13535
Violation of Park Rules,Obstructing Public Use,13379
Consumer Complaint,Damaged/Defective Goods,13188
PLUMBING,SEWER,13168
For Hire Vehicle Complaint,Driver Complaint - Passenger,13130
Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,13121
Other Enforcement,E10 Obstruction (Street/Sidewalk),13085
Lost Property,Bag/Wallet,13025
Illegal Dumping,Chronic Dumping,12869
Unleashed Dog,Unleashed Dog in Public,12791
Animal Abuse,Other (complaint details),12725
BEST/Site Safety,Demolition Notification Received,12652
Street Sign - Damaged,Street Cleaning - ASP,12624
For Hire Vehicle Complaint,Car Service Company Complaint,12508
Literature Request,RECYCLING CHECKLIST REMOVABLE STICKER,12401
SCRIE,SCRIE Recertification,12353
GENERAL,MAILBOX,12319
Unsanitary Animal Pvt Property,Dog,12319
HPD Literature Request,Tenant and Landlord Disputes Brochure - English,12317
Noise - Park,Loud Talking,12282
Other Enforcement,E3B Sidewalk Obstruction,12205
Street Sign - Missing,Other/Unknown,12146
DOF Property - Owner Issue,Billing Name Incorrect,12042
DOF Property - Reduction Issue,Personal DRIE Exemption,12007
Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,11977
Dirty Conditions,E11 Litter Surveillance,11867
Street Condition,Plate Condition - Shifted,11823
Obstruction,Cone,11792
Maintenance or Facility,Rodent Sighting,11715
Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",11714
General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,11652
HEATING,HEAT RELATED,11346
Maintenance or Facility,Structure - Indoors,11179
FLOORING/STAIRS,STAIRS,11170
Street Sweeping Complaint,Inadequate Sweeping,11152
Non-Emergency Police Matter,Face Covering Violation,11112
Traffic Signal Condition,Base Door,11092
Noise - House of Worship,Loud Music/Party,11086
Housing Options,Other Housing Options,11041
DOF Property - Payment Issue,Property Refunds and Credits,10957
Consumer Complaint,Unlicensed,10902
Illegal Tree Damage,Branches Damaged,10888
Food Establishment,Food Spoiled,10822
SCRIE,Application Renewal,10785
Taxi Report,Driver Report,10728
Drug Activity,Use Indoor,10675
Street Light Condition,Fixture/Luminaire Hanging,10627
GENERAL,SIGNAGE MISSING,10557
Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,10526
Noise - Commercial,Car/Truck Horn,10494
Traffic Signal Condition,Ped Multiple Lamps,10402
Vendor Enforcement,Food Vendor,10391
GENERAL CONSTRUCTION,WINDOW GUARDS,10387
Water System,Hydrant Locking Device Request (Use Comments) (WC5),10172
Illegal Parking,Detached Trailer,10152
Lost Property,Electronics/Phones,9997
Residential Disposal Complaint,Trash or Recycling Not Secure,9989
Illegal Tree Damage,Unauthorized Tree Removal,9907
Maintenance or Facility,Unsecured Facility,9900
Obstruction,Trash or Recycling,9900
Traffic,Drag Racing,9859
Missed Collection,Recycling - Metal/Glass/Rigid Plastic,9782
Dead Animal,Cat,9721
Street Light Condition,Lamppost Wire Exposed,9686
Sewer,Manhole Overflow (Use Comments) (SA1),9550
Sweeping/Missed,3A Sweeping/Missed,9531
Sewer,Defective/Missing Curb Piece (SC4),9448
Food Establishment,Bare Hands in Contact w/ Food,9397
GENERAL CONSTRUCTION,STAIRS,9388
Unsanitary Pigeon Condition,Pigeon Waste,9316
Maintenance or Facility,Graffiti or Vandalism,9300
Indoor Sewage,Sewage Odor,9219
Street Light Condition,Glassware Missing,9215
Street Light Condition,Lamppost Knocked Down,9146
Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,9105
Taxi Complaint,Driver Complaint - Non Passenger,9014
Overgrown Tree/Branches,Clear Street Light,9012
Missed Collection,Compost,8951
NONCONST,JANITOR-SUPER,8947
Missed Collection,Bulky Recycling,8913
Street Sign - Dangling,Other/Unknown,8825
PLUMBING,SHOWER-STALL,8822
Urinating in Public,N/A,8801
Graffiti,Police Report Not Requested,8780
DOF Parking - Payment Issue,Status of Payment Adjustment,8773
Maintenance or Facility,Hours of Operation,8770
Highway Condition,Litter,8763
Indoor Air Quality,Dust from Construction,8762
Homeless Person Assistance,No Status Call,8730
Street Light Condition,Lamppost Leaning,8677
Dirty Conditions,"E4 18 Law",8657
Missed Collection (All Materials),1RO Missed Recycling Organics,8568
Food Establishment,Letter Grading,8558
Street Sweeping Complaint,Street Not Swept,8557
PAINT/PLASTER,WINDOW/FRAME,8542
Traffic,Truck Route Violation,8446
DOF Parking - Request Status,Status of Hearing,8444
Street Sign - Missing,Stop,8433
Street Light Condition,Street Light Lamp Dim,8391
Street Light Condition,Lamppost Damaged,8358
Outdoor Dining,Site Setup Condition,8300
Literature Request,RECYCLING AREA DECAL,8167
Other Enforcement,E6 Commercial Waste Disposal,8143
Standing Water,Other - Explain Below,8130
Animal-Abuse,Other (complaint details),8121
Food Establishment,Food Contaminated,8090
Traffic Signal Condition,Cable,7982
Street Sign - Dangling,"No Parking, Standing, Stopping",7975
Literature Request,RECYCLING BLDG POSTER E/S,7950
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,7943
Illegal Tree Damage,Trunk Damaged,7869
Overgrown Tree/Branches,Hitting Power Lines,7787
Borough Office,Construction Enforcement Work Order (DOB),7763
Consumer Complaint,Mobile Food Vendor,7684
Consumer Complaint,Vendor,7650
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,7584
HEATING,HEAT-PLANT,7563
DPR Internal,Aided/Injury,7516
Traffic Signal Condition,Veh Sgnl Mult Lamps,7513
Noise,Noise:  lawn care equipment (NCL),7492
Broken Muni Meter,Credit Card Stuck in Meter,7447
DOF Property - Payment Issue,Misapplied Payment,7425
Consumer Complaint,Contract Dispute,7416
Asbestos,N/A,7402
Air Quality,"Air: Smoke, Vehicular (AA4)",7351
COVID-19 Non-essential Construction,Construction,7322
Consumer Complaint,Sidewalk Blocked,7322
Dead/Dying Tree,Planted Less Than 2 Years Ago,7280
Curb Condition,Curb Defect-Metal Protruding,7266
Consumer Complaint,Bodega/Deli/Supermarket,7253
Damaged Tree,Tree Trunk Split,7250
GENERAL CONSTRUCTION,MAIL-BOX,7168
Traffic Signal Condition,Veh Signal Visor,7147
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,7101
Outdoor Dining,Sidewalk Zone Blocked,7075
Sidewalk Condition,Dismiss Violation Owner Fixed,7070
Violation of Park Rules,Unlicensed Vendors,7054
DOF Parking - Payment Issue,Status of PV Refund,7054
PAINT/PLASTER,RADIATOR,7003
Street Sign - Damaged,One Way,7003
Food Establishment,Food Contains Foreign Object,6979
Water Conservation,Water Meter Broken/Leaking - Other (CMO),6974
DOF Parking - Payment Issue,Card - No DOF Confirmation Number Issued,6964
DOF Parking - Tax Exemption,Tax Exemption,6953
Traffic Signal Condition,Ped Lamp,6944
DOF Parking - Payment Issue,Mailed - Not Reflected,6926
Sidewalk Condition,Dumpster - Construction Waste,6886
Illegal Posting,Poster or Sign,6863
Street Light Condition,Traffic Signal Light,6846
Air Quality,Air: Other Air Problem (Use Comments) (AZZ),6840
SCRIE,Miscellaneous,6787
Construction Safety Enforcement,Excavation Tracking Complaint,6747
NonCompliance with Phased Reopening,Restaurant/Bar Not in Compliance,6579
Snow or Ice,Sidewalk,6554
Residential Disposal Complaint,Waste Set Out Too Early or Too Late,6509
Street Light Condition,Flood Light Lamp Out,6505
Animal in a Park,Injured Wildlife,6495
School Maintenance,Unclean Condition,6491
DOF Property - Update Account,Billing Name Incorrect,6475
Illegal Parking,License Plate Obscured,6470
Traffic Signal Condition,Vehicle Signal,6446
Food Poisoning,3 or More,6426
Sustainability Enforcement,Sustainability Enforcement Work Order,6414
Other Enforcement,E14 ASP/Restricted Parking,6203
Illegal Tree Damage,Roots Damaged,6140
Literature Request,DIGEST OF CODES,6130
Vendor Enforcement,Non-Food Vendor,6104
HPD Literature Request,Heat Bulletin,6057
PAINT/PLASTER,DOOR/FRAME,6034
Elder Abuse,N/A,6033
Taxi Compliment,Driver Compliment,6030
Vaccine Mandate Non-Compliance,Customer Proof of Vaccination Not Checked,6008
Street Light Condition,Photocell (PEC) Missing,5970
Broken Muni Meter,Timer Defect - Fast/Fail,5950
DHS Advantage - Tenant,Lease Expiring,5934
Broken Parking Meter,Timer Defect - Fast/Fail,5931
Maintenance or Facility,Snow or Ice,5921
Ferry Inquiry,Lost and Found,5921
Sweeping/Missed-Inadequate,3 Sweeping/Missed-Inadequate,5913
Obstruction,Weeds or Grass,5891
General Construction/Plumbing,Construction - Change Grade/Watercourse,5874
DOF Property - Reduction Issue,Commercial Not For Profit Exemption,5826
Standing Water,Swimming Pool - Unmaintained,5793
Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,5784
Drinking,Underage - Licensed Est,5775
Construction Safety Enforcement,SST Tracking Complaint,5749
Consumer Complaint,Damaged Vehicle,5747
Traffic Signal Condition,Underground,5721
Hazardous Materials,"Oil Spill On Street, Large (HQL)",5699
SCRIE,Copy of Approval Order,5684
Food Establishment,Kitchen/Food Prep Area,5677
Unsanitary Animal Pvt Property,Animal Waste,5660
Construction,Initial - CO,5647
Other Enforcement,E10 Street Obstruction,5645
Street Sign - Missing,Street Cleaning - ASP,5636
PAINT - PLASTER,WINDOW/FRAME,5603
DHS Advantage -Landlord/Broker,Other Issue,5554
Unsanitary Animal Pvt Property,Cat,5551
SCRIE,Rent Discrepancy,5539
Mobile Food Vendor,Permit/License/Certificate,5517
Unsanitary Condition,,5493
Day Care,Day Care Facility,5394
Taxi Complaint,Vehicle Complaint,5391
Dirty Condition,Dog Waste,5388
Bus Stop Shelter Complaint,Broken Glass,5376
SCRIE,SCRIE Application Problem,5370
DCA / DOH New License Application Request,Full Term Mobile Food Vendor License,5363
Housing Options,Assisted Living,5355
Plumbing,Gas Utility Referral,5256
General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,5208
Violation of Park Rules,BBQ Outside Authorized Area,5197
Street Sign - Dangling,St Name - Attached to Pole,5163
Animal Abuse,Tortured,5159
DOF Property - Reduction Issue,Personal Veteran Exemption,5158
Noise,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",5157
Street Light Condition,Lamppost Base Door/Cover Damaged,5125
Highway Condition,Graffiti - Highway,5089
Sewer,Catch Basin Search (SC2),5061
DOF Property - Request Copy,Copy of Notice of Property Value,5033
Street Condition,Line/Marking - After Repaving,5019
PAINT/PLASTER,CABINET,5014
Lost Property,Other,4951
Animal in a Park,Dead Animal,4920
School Maintenance,Other School Condition,4912
Street Light Condition,Time Clock Maladjusted,4885
NonCompliance with Phased Reopening,Business not allowed to be open,4885
Sidewalk Condition,Sidewalk Collapsed,4838
Street Light Condition,Glassware Broken,4835
Street Sign - Dangling,Stop,4825
Industrial Waste,Wastewater Into Catch Basin (IEB),4798
Litter Basket Request,New Basket,4766
Construction Safety Enforcement,Best - Low-Rise Tracking Complaint,4760
Construction Safety Enforcement,Best - High-Rise Tracking Complaint,4749
Street Light Condition,Lamppost Missing,4730
Street Light Condition,Street Light Lamp Missing,4726
Snow,15I Street Condition Ice-Non Storm,4711
Street Light Condition,Fixture/Luminaire Damaged,4668
Street Light Condition,Lamppost Base Door/Cover Missing,4658
OUTSIDE BUILDING,ROOFING,4654
HPD Literature Request,Home Ownership Kit,4653
Taxi Complaint,Insurance Information Requested,4652
DOF Property - Payment Issue,Interest Dispute,4622
Investigations and Discipline (IAD),Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,4621
Traffic Signal Condition,Support Bracket,4620
Food Establishment,Food Worker Hygiene,4617
Animal-Abuse,Tortured,4560
DOF Parking - Request Copy,Decision and Order,4556
DOF Property - Reduction Issue,Personal DHE Exemption,4551
Abandoned Bike,Chained to Public Property,4507
SCRIE,Initial Application,4496
Disorderly Youth,Playing in Unsuitable Place,4485
Food Establishment,Pet/Animal,4477
Residential Disposal Complaint,Waste Left in Front of Other Residence,4474
Hazardous Materials,Chemical Spill/Release (HA1),4464
Mosquitoes,Large Number of Mosquitoes,4447
Animal Abuse,No Shelter,4433
Sewer,Catch Basin Grating Missing (SA4),4423
Mold,Public Complaint - Comm Location,4340
Missed Collection,Trash and Bulky Trash,4313
GENERAL CONSTRUCTION,VENTILATION SYSTEM,4307
DCA / DOH New License Application Request,General Street Vendor License,4282
DOF Property - Reduction Issue,DRIE Exemption,4277
BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),4245
Sidewalk Condition,Pedestrian Ramp Defective,4197
BEST/Site Safety,Demolition - Unsafe,4196
Standing Water,Puddle in Ground,4161
General Construction/Plumbing,Excavation Undermining Adjacent Building,4158
Violation of Park Rules,Social Distancing,4143
Sewer,Culvert Blocked/Needs Cleaning (SE),4135
Unsanitary Animal Pvt Property,Animal Odor,4130
Sidewalk Condition,Defective Hardware,4129
Traffic,Chronic Stoplight Violation,4124
Building Marshals office,Illegal Activity,4109
Traffic Signal Condition,Street Light Feed,4085
Consumer Complaint,Billing Dispute,4070
Overgrown Tree/Branches,Hitting Phone/Cable Lines,4068
DHS Advantage - Tenant,Lease Renewal Question,4064
Traffic,Chronic Speeding,4045
Lot Condition,Trash,4016
Homeless Person Assistance,Status Call,3963
Consumer Complaint,Tow Truck Company,3961
